height_bucket,body_shape,skin_tone,age_bucket,occasion,clothing_description,label
average,hourglass,medium,26-35,wedding,Deep red silk lehenga with fitted blouse and flared skirt,1.0
average,rectangle,light,26-35,office,Navy blue tailored blazer with straight pants minimal formal wear,1.0
short,pear,medium,18-25,party,Black A line satin cocktail dress knee length evening wear,1.0
average,apple,deep,36-45,festive,Royal blue anarkali suit with gold embroidery flowy ethnic wear,1.0
tall,hourglass,light,26-35,casual,Pastel floral maxi dress relaxed luxury brunch outfit,0.8
average,pear,medium,26-35,wedding,Emerald green chiffon saree with structured blouse,1.0
average,rectangle,medium,26-35,office_party,Ivory wrap dress clean silhouette semi formal party wear,0.8
short,pear,deep,18-25,festive,Mustard yellow flared kurta with palazzo pants festive outfit,1.0
tall,rectangle,light,26-35,casual,White linen co ord set relaxed premium holiday wear,0.8
average,hourglass,deep,26-35,party,Wine colored bodycon satin dress elegant evening party wear,1.0
average,rectangle,medium,26-35,office,Charcoal grey pencil skirt with tucked silk blouse,1.0
short,apple,medium,36-45,office,Navy straight kurta with cigarette pants office ethnic wear,0.8
average,pear,light,26-35,casual,Cotton midi dress with defined waist casual chic outfit,0.8
tall,hourglass,medium,26-35,party,Sequined evening gown with fitted waist glam party wear,1.0
average,rectangle,deep,26-35,festive,Magenta silk straight suit with dupatta festive wear,0.8
short,pear,light,18-25,party,Fit and flare mini dress youthful party wear,0.8
average,apple,medium,36-45,wedding,Dark green silk saree with vertical drape slimming silhouette,1.0
tall,rectangle,light,26-35,office,Beige tailored pantsuit minimal corporate look,1.0
average,hourglass,medium,26-35,festive,Maroon velvet lehenga with embroidered blouse,1.0
short,rectangle,deep,18-25,casual,Printed cotton co ord set relaxed everyday wear,0.6
average,pear,medium,26-35,office,A line knee length dress solid color work wear,1.0
tall,hourglass,light,26-35,wedding,Pastel embellished saree elegant wedding guest wear,1.0
average,apple,deep,36-45,festive,Flowy silk anarkali with minimal embroidery,1.0
short,pear,medium,18-25,casual,High waist skirt with tucked top casual day wear,0.6
average,rectangle,light,26-35,party,Structured midi dress cocktail party wear,0.8
tall,rectangle,medium,26-35,casual,Relaxed fit maxi shirt dress vacation wear,0.6
