Image,image_url,@Occasion,@Age Group,@Recommended Body shape,@Recommended size,@Skin tone,Clothing Type,Fit,Fabric,Color_family,Style,Description,Quality_Tag,Score,Prompt
testiing_image_collection/76.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718955/training_image/76.png,Party,36-50,"Hourglass, Rectangle","S, M, L","Light, Medium",lace_dress,slim,lace,metallic,Elegant,"Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a metallic palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years.",,0.7,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Delicate lace dress with slip lining and side slit for evening receptions. Crafted in lace with a slim profile and a metallic palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 36-50 years. Background: minimalist studio with warm lighting."
testiing_image_collection/77.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718954/training_image/77.png,Resort,13-17,"Rectangle, Pear Shape, Hourglass","XS, S, M, L","Light, Medium, Dusky",maxi_dress,flowing,chiffon,neutral,Minimal Luxury,"Breezy chiffon maxi dress with tiered hem, designed for coastal getaways and Indian summers. Crafted in chiffon with a flowing profile and a neutral palette suited for Resort moments across India. Fits Rectangle, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 13-17 years.",,0.532,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Breezy chiffon maxi dress with tiered hem, designed for coastal getaways and Indian summers. Crafted in chiffon with a flowing profile and a neutral palette suited for Resort moments across India. Fits Rectangle, Pear Shape, Hourglass bodies, complements Light, Medium, Dusky skin tones, and is available in sizes XS, S, M, L. Age guidance: 13-17 years. Background: luxury hotel lobby with marble floor."
testiing_image_collection/78.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718953/training_image/78.png,Wedding,26-35,"Pear Shape, Hourglass, Rectangle","M, L, XL, XXL","Medium, Dusky, Deep",saree,flowing,silk,pastel,Traditional Luxury,"Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a pastel palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 26-35 years.",,0.835,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Classic silk saree with hand-detailed borders and fluid pleats tailored for Indian wedding rituals. Crafted in silk with a flowing profile and a pastel palette suited for Wedding moments across India. Fits Pear Shape, Hourglass, Rectangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 26-35 years. Background: old city street with pastel walls."
testiing_image_collection/79.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718951/training_image/79.png,Casual luxury,18-25,"Rectangle, Pear Shape","S, M, L","Light, Medium",wrap_dress,flowing,chiffon,neutral,Minimal Luxury,"Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a neutral palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years.",,0.294,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Chiffon wrap dress with adjustable tie, easy to style for brunches and day dates. Crafted in chiffon with a flowing profile and a neutral palette suited for Casual luxury moments across India. Fits Rectangle, Pear Shape bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years. Background: resort poolside deck with cabanas."
testiing_image_collection/80.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718950/training_image/80.png,Wedding,51+,"Pear Shape, Apple Shape, Rectangle","S, M, L, XL","Medium, Dusky",sharara_set,relaxed,chiffon,neutral,Traditional Luxury,"Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a neutral palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years.",,0.616,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a neutral palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years. Background: art gallery interior with soft spotlights."
testiing_image_collection/81.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718948/training_image/81.png,Party,13-17,"Hourglass, Rectangle","S, M, L","Light, Medium",cocktail_dress,slim,satin,jewel,Elegant,"Satin cocktail dress with a sleek cut and side ruching for evening events. Crafted in satin with a slim profile and a jewel palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years.",,0.765,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin cocktail dress with a sleek cut and side ruching for evening events. Crafted in satin with a slim profile and a jewel palette suited for Party moments across India. Fits Hourglass, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years. Background: heritage haveli courtyard at dusk."
testiing_image_collection/82.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718947/training_image/82.png,Casual luxury,51+,"Rectangle, Apple Shape","S, M, L, XL","Light, Medium, Dusky",jumpsuit,structured,linen,jewel,Minimal Luxury,"Tailored linen jumpsuit with a cinched waist built for humid city days. Crafted in linen with a structured profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Apple Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years.",,0.165,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Tailored linen jumpsuit with a cinched waist built for humid city days. Crafted in linen with a structured profile and a jewel palette suited for Casual luxury moments across India. Fits Rectangle, Apple Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 51+ years. Background: modern Mumbai rooftop lounge at night."
testiing_image_collection/83.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718945/training_image/83.png,Resort,18-25,"Apple Shape, Rectangle, Pear Shape","S, M, L","Light, Medium, Dusky",kaftan,relaxed,silk,jewel,Minimal Luxury,"Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a jewel palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years.",,0.339,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a jewel palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years. Background: sunlit Jaipur palace corridor."
testiing_image_collection/84.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718943/training_image/84.png,Formal,18-25,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium, Dusky",kurta_set,relaxed,linen,pastel,Minimal Luxury,"Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a pastel palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 18-25 years.",,0.306,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a pastel palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 18-25 years. Background: Goan beach promenade at sunset."
testiing_image_collection/85.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718942/training_image/85.png,Wedding,51+,"Hourglass, Inverted Triangle","M, L, XL","Medium, Dusky, Deep",gown,structured,velvet,pastel,Couture,"Velvet evening gown with corseted bodice and sweeping skirt suited for receptions. Crafted in velvet with a structured profile and a pastel palette suited for Wedding moments across India. Fits Hourglass, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years.",,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Velvet evening gown with corseted bodice and sweeping skirt suited for receptions. Crafted in velvet with a structured profile and a pastel palette suited for Wedding moments across India. Fits Hourglass, Inverted Triangle bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL. Age guidance: 51+ years. Background: lush monsoon garden with stone path."
testiing_image_collection/86.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718940/training_image/86.png,Formal,36-50,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium, Dusky",kurta_set,relaxed,linen,metallic,Minimal Luxury,"Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a metallic palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years.",,0.184,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Breathable linen kurta set with straight pants suited for office wear and day events in Indian weather. Crafted in linen with a relaxed profile and a metallic palette suited for Formal moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years. Background: minimalist studio with warm lighting."
testiing_image_collection/87.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718939/training_image/87.png,Wedding,18-25,"Hourglass, Pear Shape","M, L, XL, XXL","Medium, Dusky, Deep",lehenga_set,structured,silk,black,Traditional Luxury,"Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a black palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years.",,0.713,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a black palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 18-25 years. Background: luxury hotel lobby with marble floor."
testiing_image_collection/88.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718938/training_image/88.png,Wedding,26-35,"Hourglass, Pear Shape","M, L, XL, XXL","Medium, Dusky, Deep",lehenga_set,structured,silk,neutral,Traditional Luxury,"Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a neutral palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 26-35 years.",,0.816,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Structured silk lehenga set with a supportive blouse and ample flare suited to sangeet and pheras. Crafted in silk with a structured profile and a neutral palette suited for Wedding moments across India. Fits Hourglass, Pear Shape bodies, complements Medium, Dusky, Deep skin tones, and is available in sizes M, L, XL, XXL. Age guidance: 26-35 years. Background: old city street with pastel walls."
testiing_image_collection/89.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718937/training_image/89.png,Resort,13-17,"Apple Shape, Rectangle, Pear Shape","S, M, L","Light, Medium, Dusky",kaftan,relaxed,silk,pastel,Minimal Luxury,"Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a pastel palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years.",,0.506,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Silk kaftan with side slits and tassel tie, made for spa days and poolside ease. Crafted in silk with a relaxed profile and a pastel palette suited for Resort moments across India. Fits Apple Shape, Rectangle, Pear Shape bodies, complements Light, Medium, Dusky skin tones, and is available in sizes S, M, L. Age guidance: 13-17 years. Background: resort poolside deck with cabanas."
testiing_image_collection/90.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718935/training_image/90.png,Casual luxury,36-50,"Apple Shape, Rectangle","S, M, L, XL","Light, Medium",tunic_set,relaxed,linen,pastel,Elegant,"Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a pastel palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years.",,0.319,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Linen tunic set with high-low hem and slim pants for easy daytime polish. Crafted in linen with a relaxed profile and a pastel palette suited for Casual luxury moments across India. Fits Apple Shape, Rectangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L, XL. Age guidance: 36-50 years. Background: art gallery interior with soft spotlights."
testiing_image_collection/91.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718934/training_image/91.png,Wedding,26-35,"Pear Shape, Apple Shape, Rectangle","S, M, L, XL","Medium, Dusky",sharara_set,relaxed,chiffon,metallic,Traditional Luxury,"Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a metallic palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 26-35 years.",,0.681,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Relaxed chiffon sharara set with light zari work and breezy pants made for mehendi comfort. Crafted in chiffon with a relaxed profile and a metallic palette suited for Wedding moments across India. Fits Pear Shape, Apple Shape, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes S, M, L, XL. Age guidance: 26-35 years. Background: heritage haveli courtyard at dusk."
testiing_image_collection/92.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718933/training_image/92.png,Party,51+,"Pear Shape, Hourglass","S, M, L","Light, Medium",peplum_set,structured,satin,metallic,Elegant,"Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a metallic palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years.",,0.726,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin peplum set with fitted trousers, flattering the waist for festive dinners. Crafted in satin with a structured profile and a metallic palette suited for Party moments across India. Fits Pear Shape, Hourglass bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 51+ years. Background: modern Mumbai rooftop lounge at night."
testiing_image_collection/93.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718932/training_image/93.png,Formal,18-25,"Rectangle, Inverted Triangle","S, M, L","Light, Medium",blazer_dress,structured,satin,jewel,Minimal Luxury,"Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a jewel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years.",,0.526,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Satin blazer dress with sharp lapels and waist definition for boardroom-to-dinner dressing. Crafted in satin with a structured profile and a jewel palette suited for Formal moments across India. Fits Rectangle, Inverted Triangle bodies, complements Light, Medium skin tones, and is available in sizes S, M, L. Age guidance: 18-25 years. Background: sunlit Jaipur palace corridor."
testiing_image_collection/94.png,https://res.cloudinary.com/dgbmqarp0/image/upload/v1768718931/training_image/94.png,Party,36-50,"Inverted Triangle, Rectangle","M, L, XL","Medium, Dusky",cape_saree,structured,silk,black,Couture,"Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a black palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years.",,0.829,"Full-body portrait of an Indian female, natural and realistic, head to toe, no other person in the background, wearing: Pre-stitched silk cape saree that adds drama without heavy draping. Crafted in silk with a structured profile and a black palette suited for Party moments across India. Fits Inverted Triangle, Rectangle bodies, complements Medium, Dusky skin tones, and is available in sizes M, L, XL. Age guidance: 36-50 years. Background: Goan beach promenade at sunset."
