age,size,body_shape,skin_tone,cloth_description,image_path,score,prompt
25,XS,apple,light,cream silk blazer and trousers with flowy layers,training data/1.png,0.59,"Full-body, head-to-toe studio fashion photo of an Indian female, age 25, size XS, apple body shape, light skin tone. Outfit color: cream. Fabric: silk. Wearing cream silk blazer and trousers with flowy layers. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
20,XS,hourglass,light,cream cotton sweater and chinos with soft drape,training data/2.png,0.22,"Full-body, head-to-toe studio fashion photo of an Indian female, age 20, size XS, hourglass body shape, light skin tone. Outfit color: cream. Fabric: cotton. Wearing cream cotton sweater and chinos with soft drape. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
55,M,hourglass,light,blue wool kurta set with a structured silhouette,training data/3.png,0.957,"Full-body, head-to-toe studio fashion photo of an Indian female, age 55, size M, hourglass body shape, light skin tone. Outfit color: blue. Fabric: wool. Wearing blue wool kurta set with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
39,XS,hourglass,medium,navy wool shirt dress with classic buttons,training data/4.png,0.807,"Full-body, head-to-toe studio fashion photo of an Indian female, age 39, size XS, hourglass body shape, medium skin tone. Outfit color: navy. Fabric: wool. Wearing navy wool shirt dress with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
47,XL,hourglass,medium,navy satin tank and shorts with a relaxed fit,training data/5.png,0.705,"Full-body, head-to-toe studio fashion photo of an Indian female, age 47, size XL, hourglass body shape, medium skin tone. Outfit color: navy. Fabric: satin. Wearing navy satin tank and shorts with a relaxed fit. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
20,S,apple,light,cream linen crop top and skirt with clean tailoring,training data/6.png,0.636,"Full-body, head-to-toe studio fashion photo of an Indian female, age 20, size S, apple body shape, light skin tone. Outfit color: cream. Fabric: linen. Wearing cream linen crop top and skirt with clean tailoring. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
41,S,apple,medium,cream satin blazer and trousers with classic buttons,training data/7.png,0.534,"Full-body, head-to-toe studio fashion photo of an Indian female, age 41, size S, apple body shape, medium skin tone. Outfit color: cream. Fabric: satin. Wearing cream satin blazer and trousers with classic buttons. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
33,S,rectangle,medium,red denim shirt dress with subtle embroidery,training data/8.png,0.822,"Full-body, head-to-toe studio fashion photo of an Indian female, age 33, size S, rectangle body shape, medium skin tone. Outfit color: red. Fabric: denim. Wearing red denim shirt dress with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
38,L,apple,light,cream wool jumpsuit with a fitted waist,training data/9.png,0.885,"Full-body, head-to-toe studio fashion photo of an Indian female, age 38, size L, apple body shape, light skin tone. Outfit color: cream. Fabric: wool. Wearing cream wool jumpsuit with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
47,S,apple,light,cream satin tank and shorts with contrast piping,training data/10.png,0.362,"Full-body, head-to-toe studio fashion photo of an Indian female, age 47, size S, apple body shape, light skin tone. Outfit color: cream. Fabric: satin. Wearing cream satin tank and shorts with contrast piping. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
26,XL,rectangle,light,black linen maxi skirt with a structured silhouette,training data/11.png,0.596,"Full-body, head-to-toe studio fashion photo of an Indian female, age 26, size XL, rectangle body shape, light skin tone. Outfit color: black. Fabric: linen. Wearing black linen maxi skirt with a structured silhouette. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
42,L,athletic,medium,mustard satin sweater and chinos with subtle embroidery,training data/12.png,0.682,"Full-body, head-to-toe studio fashion photo of an Indian female, age 42, size L, athletic body shape, medium skin tone. Outfit color: mustard. Fabric: satin. Wearing mustard satin sweater and chinos with subtle embroidery. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
52,M,apple,light,red chiffon maxi skirt with a fitted waist,training data/13.png,0.954,"Full-body, head-to-toe studio fashion photo of an Indian female, age 52, size M, apple body shape, light skin tone. Outfit color: red. Fabric: chiffon. Wearing red chiffon maxi skirt with a fitted waist. She is standing centered in frame with a relaxed confident pose, facing camera with a slight three-quarter angle, arms natural. Hair is neatly styled, natural makeup with a soft matte finish, minimal jewelry, and clean manicure. Wearing matching footwear appropriate to the outfit. Lighting: softbox key light with gentle fill, crisp edges, high detail, sharp focus, 50mm lens, high-resolution editorial look. Background: Seamless warm-neutral studio backdrop with a soft gradient, subtle floor shadow, and clean editorial look."
