Image,@Occasion,@Age Group,@Recommended Body shape,@Recommended size,@Skin tone,Clothing Type,Fit,Fabric,Color_family,Style,Description,Quality_Tag,Score,Prompt
imgA_001,Formal,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Flattering,Cotton blend,Pastel,Elegant,Good quality formal outfit for Indian female in age group 13-17.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Chiffon. Background: suitable formal setting."
imgA_002,Formal,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Flattering,Cotton blend,Pastel,Elegant,Good quality formal outfit for Indian female in age group 18-25.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_003,Formal,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Flattering,Cotton blend,Pastel,Elegant,Good quality formal outfit for Indian female in age group 26-35.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_004,Formal,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Flattering,Cotton blend,Pastel,Elegant,Good quality formal outfit for Indian female in age group 36-50.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_005,Formal,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Blazer set,Flattering,Cotton blend,Pastel,Elegant,Good quality formal outfit for Indian female in age group 51+.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Formal. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Blazer set. Fabric: Cotton blend. Background: suitable formal setting."
imgA_006,Party,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Flattering,Cotton blend,Pastel,Elegant,Good quality party outfit for Indian female in age group 13-17.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_007,Party,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Flattering,Cotton blend,Pastel,Elegant,Good quality party outfit for Indian female in age group 18-25.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_008,Party,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Flattering,Cotton blend,Pastel,Elegant,Good quality party outfit for Indian female in age group 26-35.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_009,Party,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Flattering,Cotton blend,Pastel,Elegant,Good quality party outfit for Indian female in age group 36-50.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_010,Party,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Cocktail dress,Flattering,Cotton blend,Pastel,Elegant,Good quality party outfit for Indian female in age group 51+.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Party. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Cocktail dress. Fabric: Cotton blend. Background: suitable party setting."
imgA_011,Wedding,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Flattering,Silk,Pastel,Elegant,Good quality wedding outfit for Indian female in age group 13-17.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Cotton blend. Background: suitable wedding setting."
imgA_012,Wedding,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Flattering,Silk,Pastel,Elegant,Good quality wedding outfit for Indian female in age group 18-25.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_013,Wedding,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Flattering,Silk,Pastel,Elegant,Good quality wedding outfit for Indian female in age group 26-35.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_014,Wedding,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Flattering,Silk,Pastel,Elegant,Good quality wedding outfit for Indian female in age group 36-50.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_015,Wedding,51+,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Silk saree,Flattering,Silk,Pastel,Elegant,Good quality wedding outfit for Indian female in age group 51+.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Wedding. Age: 51+. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Silk saree. Fabric: Silk. Background: suitable wedding setting."
imgA_016,Casual Luxury,13-17,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Flattering,Cotton blend,Pastel,Elegant,Good quality casual luxury outfit for Indian female in age group 13-17.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 13-17. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Silk. Background: suitable casual luxury setting."
imgA_017,Casual Luxury,18-25,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Flattering,Cotton blend,Pastel,Elegant,Good quality casual luxury outfit for Indian female in age group 18-25.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 18-25. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_018,Casual Luxury,26-35,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Flattering,Cotton blend,Pastel,Elegant,Good quality casual luxury outfit for Indian female in age group 26-35.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 26-35. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
imgA_019,Casual Luxury,36-50,"rectangle,pear,hourglass,apple","S,M,L","light,medium,dusky",Co-ord set,Flattering,Cotton blend,Pastel,Elegant,Good quality casual luxury outfit for Indian female in age group 36-50.,good,0.9,"Full-body portrait of an Indian female, natural and realistic, head to toe. Occasion: Casual Luxury. Age: 36-50. Skin tone: light. Body shape: rectangle. Size: M. Outfit: Co-ord set. Fabric: Cotton blend. Background: suitable casual luxury setting."
