Image	@Occasion	@Recommended Body shape	@Recommended size	@Skin tone	Clothing Type	Fit	Fabric	Color_family
img201	Resort	rectangle,hourglass,pear,apple	small,medium,large	light,medium,dusky	Maxi dress	flowing	chiffon	pastel
img202	Party	rectangle,hourglass	small,medium	light,medium	Satin dress	slim	satin	Black
img203	Casual luxury	pear,rectangle,apple	small,medium,large	medium,dusky	Co-ords	structured	linen	neutral
img204	Formal	rectangle,hourglass	small,medium	light,medium	Blazer dress	structured	crepe	navy blue
img205	Wedding	hourglass,pear,apple	medium,large,xl	medium,dusky,deep	Ethnic Set (lehenga)	structured	silk	jewel
img206	Resort	pear,rectangle,apple	small,medium,large	light,medium	Wrap dress	relaxed	cotton	tropical
img207	Casual luxury	rectangle,apple,hourglass	small,medium	light,medium,dusky	Jumpsuit	structured	linen	neutral
img208	Party	rectangle,hourglass,pear	small,medium,large	medium,dusky,deep	Mini dress	slim	sequins	metallic
img209	Formal	rectangle,hourglass	small,medium	light,medium	Blazer dress	structured	crepe	navy blue
img210	Resort	rectangle,hourglass,pear,apple	small,medium,large	light,medium,dusky,deep	Kaftan	relaxed	silk	jewel
img211	Casual luxury	pear,curvy	small,medium,large	deep	Boho dress	relaxed	cotton	jewel
img212	Wedding	hourglass,pear	medium,large,xl	medium,dusky,deep	Gown	structured	net,silk	metallic
img213	Party	rectangle,apple,hourglass	small,medium,large	medium,dusky	Co-ords	structured	satin	metallic
img214	Formal	rectangle,hourglass	small,medium	light,medium	Blazer suit	structured	wool	neutral
img215	Resort	rectangle,pear,apple	small,medium,large	light,medium	Jumpsuit	relaxed	cotton-linen	neutral
img216	Casual luxury	pear,rectangle	small,medium	medium,dusky	Short dress	fit-and-flare	chiffon	pastel
img217	Party	rectangle,hourglass,pear	small,medium,large	light,medium,dusky,deep	Mini dress	slim	velvet	jewel
img218	Resort	rectangle,hourglass,pear,apple	small,medium,large	light,medium,dusky,deep	Gown	flowing	chiffon	pastel
img219	Casual luxury	pear,curvy	small,medium,large	deep	Fusion wear	relaxed	silk-blend	jewel
img220	Formal	rectangle,hourglass	small,medium	light,medium	Shirt dress	structured	cotton	neutral
img221	Wedding	rectangle,hourglass,pear,apple	small,medium,large	medium,dusky,deep	Ethnic Set (lehenga)	structured	silk	jewel
img222	Engagement	rectangle,hourglass	small,medium	light,medium	Gown	structured	net,silk	metallic
img223	Wedding guest	rectangle,pear,hourglass	small,medium,large	medium,dusky	Saree	draped	silk	jewel
img224	Engagement	rectangle,hourglass,pear	small,medium	light,medium	Ethnic Set (anarkali)	flowing	georgette	pastel
img225	Reception	rectangle,hourglass,pear	medium,large,xl	medium,dusky,deep	Ethnic Set (lehenga)	structured	velvet	jewel
img226	Wedding guest	pear,rectangle,hourglass	small,medium,large	medium,deep	Ethnic Set (sharara)	relaxed	silk-blend	jewel
img227	Resort	rectangle,hourglass,pear,apple	small,medium,large	light,medium,dusky	Kaftan	relaxed	silk	jewel
img228	Resort beach	rectangle,hourglass,pear	small,medium,large	light,medium	Maxi dress	flowing	chiffon	neutral
